"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NEO1",0.0269409620460542,-0.504360758592504,0.047,0.067,1
"GNA13",0.0269410844564772,0.236597904939563,0.187,0.156,1
"ALG9",0.0269554006527427,0.243340694683155,0.099,0.075,1
"GPRIN1",0.0269620146174951,0.482144884044516,0.043,0.029,1
"CDYL2",0.0269852632916426,0.172055730342072,0.135,0.107,1
"TNFAIP3",0.0271048046550953,0.261708587987608,0.09,0.068,1
"ZBTB14",0.0271826733809197,0.554601570223505,0.052,0.036,1
"GEMIN5",0.0272564761553105,0.759610158173811,0.022,0.012,1
"BRCA1",0.0272651333606026,0.615309472070112,0.04,0.026,1
"KCTD2",0.0273164210527557,0.365331219061765,0.059,0.042,1
"IFT43",0.027324747079327,0.238574076775826,0.094,0.071,1
"FAM53B",0.0274278501571208,0.345965894194834,0.07,0.051,1
"FLOT2",0.0274399702347283,0.102652551126677,0.273,0.233,1
"WDFY3",0.0274806067502901,0.329261964354244,0.075,0.055,1
"RSAD1",0.0275045159452903,0.384960025810697,0.069,0.05,1
"FBH1",0.0275205750062236,0.131841088841987,0.167,0.135,1
"TIGAR",0.0275734110819783,0.327363368862745,0.069,0.05,1
"VPS13B",0.0275753805949766,0.280163835799088,0.071,0.052,1
"SS18L1",0.0275843312911265,0.322003787397664,0.079,0.059,1
"PRELID1",0.0275892966271621,0.191564151325058,0.212,0.178,1
"ARHGAP19",0.0275928143876878,1.49086210114562,0.01,0.004,1
"ZNF550",0.0276516551664534,0.397997407982087,0.063,0.045,1
"SCLT1",0.0276614757326938,0.374491218347241,0.073,0.054,1
"PMFBP1",0.0276898345793153,1.36533121906176,0.01,0.004,1
"FYN",0.0277022042817274,0.120365105989287,0.141,0.112,1
"KRT83",0.0277027041062715,0.324108556335252,0.118,0.094,1
"SFRP1",0.0277473238675188,-1.16716386176526,0.013,0.024,1
"KIDINS220",0.0277572051816035,0.256032576570953,0.104,0.081,1
"NSUN6",0.0277612193825813,0.607901522335843,0.039,0.026,1
"P2RY2",0.0278499400620962,0.502834742811699,0.041,0.027,1
"MIA2",0.027932541827598,0.216239721036619,0.115,0.09,1
"MAP3K7CL",0.02795827296037,0.377205319350057,0.058,0.041,1
"RBP1",0.0279874802135879,0.100319163787529,0.351,0.304,1
"C14orf93",0.0279883218034862,0.549043172234153,0.041,0.027,1
"ENTPD4",0.0281105190837161,0.148165959388867,0.205,0.171,1
"CPTP",0.0281335392460797,0.318537007582824,0.087,0.065,1
"EHBP1",0.0281397396100037,0.180906647924338,0.148,0.119,1
"SERPINB8",0.0281545851577619,0.415084254258865,0.057,0.04,1
"MFN1",0.0281644081772294,0.144304339749547,0.141,0.113,1
"MECR",0.0282462284516267,0.243585946709396,0.141,0.114,1
"CD300A",0.0283259349761232,0.24070456454802,0.123,0.098,1
"TOP3B",0.0283373296342881,0.301200881642049,0.083,0.062,1
"TFPT",0.0283627038493315,0.138465321146009,0.13,0.103,1
"IL15",0.0284295939227443,0.573917840873182,0.047,0.032,1
"THRA",0.028456155647867,-0.337831667013703,0.232,0.26,1
"AGO3",0.0284702808376691,0.365331219061765,0.063,0.045,1
"TRAJ33",0.0284710615228363,-1.44202370299584,0.004,0.012,1
"RB1CC1",0.0284791397448194,0.421914747428133,0.05,0.034,1
"GZMA",0.0284875786713952,-1.21963128165939,0.005,0.013,1
"EVA1A",0.0285078020851523,0.355616064228554,0.072,0.053,1
"CHRD",0.0285820788983093,-0.766374460150057,0.033,0.049,1
"NADK",0.0286144505524823,0.35083164936665,0.092,0.07,1
"NPNT",0.028629712911949,0.696537127537138,0.035,0.023,1
"ERBB2",0.0286511286191166,0.186660175154635,0.178,0.147,1
"NAA25",0.0286633502333086,0.501392768637793,0.048,0.033,1
"APOC1",0.0286766379289851,0.166208577048164,0.282,0.244,1
"SOWAHA",0.0287378942603592,1.36533121906176,0.013,0.006,1
"SLC25A2",0.0287378942603592,1.27222181467028,0.013,0.006,1
"MUTYH",0.0287462641023139,0.494064533183969,0.039,0.026,1
"CROT",0.028756333504944,0.537512194444445,0.038,0.025,1
"CDKL1",0.0288163041019746,1.01169426444706,0.017,0.008,1
"CENPQ",0.028865450828016,1.17268614111937,0.013,0.006,1
"CXCR3",0.028865450828016,1.17268614111937,0.013,0.006,1
"AGT",0.0288974969549338,0.513429858050899,0.037,0.024,1
"RBM42",0.0289004767293674,0.157889139191289,0.242,0.206,1
"SOX18",0.0289131385456058,-0.647724933763681,0.051,0.071,1
"MTRF1",0.0289396557634791,0.950293719782922,0.017,0.008,1
"ELL3",0.0289396557634791,0.950293719782922,0.017,0.008,1
"SRGN",0.0289527405921578,-0.313413427980008,0.223,0.253,1
"TRNAU1AP",0.0289807605476224,0.297868251283026,0.086,0.065,1
"CWC27",0.02904964797849,0.111414709391788,0.25,0.212,1
"SLC22A23",0.0290853078956133,0.325067348848038,0.051,0.035,1
"MFSD3",0.0291035859307432,0.375526986167654,0.067,0.049,1
"ADGRL1",0.0291966660001213,0.51118208552522,0.047,0.032,1
"DGCR8",0.0292287630829828,0.158518809192775,0.125,0.099,1
"CAPN7",0.0292475218666658,0.230581806948527,0.128,0.102,1
"RAB28",0.0292931163942045,0.188246426046587,0.122,0.096,1
"ZCCHC8",0.0293867219226242,0.677275225376506,0.033,0.021,1
